;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
Przedmieúcie åwidnickie;CHMURA STANIS£AW  ;80;TECHNIK MECHANIK ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;DR”ØDØ IWONA BEATA ;36;EKONOMISTKA ; 
Przedmieúcie åwidnickie;DUCZY—SKA URSZULA MARIA ;62;INØYNIER ;PRZEDMIEåCIE åWIDNICKIE-LUBI  TO! 
Przedmieúcie åwidnickie;GOLCZAK IRENA ANNA ;63;GEOLOG ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;KACZOROWSKI ROBERT WALDEMAR ;59;ADWOKAT ;"STOWARZYSZENIE - ""PRZYJAZNE OSIEDLE DLA LUDZI"" "
Przedmieúcie åwidnickie;£UNIEWSKA LEOKADIA  ;75;PEDAGOG ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;MOLENDA LESZEK MIROS£AW ;60;NAUCZYCIEL ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;R”ØA—SKA BOØENA DOROTA ;50;PSYCHOLOG ;PRZEDMIEåCIE åWIDNICKIE-LUBI  TO! 
Przedmieúcie åwidnickie;STASZEWSKI PIOTR ANDRZEJ ;23;MUZYK ;PRZEDMIEåCIE åWIDNICKIE-LUBI  TO! 
Przedmieúcie åwidnickie;STASZEWSKI WALDEMAR ZBIGNIEW ;57;NAUCZYCIEL ;PRZEDMIEåCIE åWIDNICKIE-LUBI  TO!, PO 
Przedmieúcie åwidnickie;ANKLEWICZ ADAM  ;27;ELEKTRYK ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;DUBIEL KRYSTYNA  ;71;TECHNIK HOTELARZ ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;JAWOROWSKI PRZEMYS£AW ROBERT ;37;MGR INØ. PROGRAMISTA ; 
Przedmieúcie åwidnickie;KAMI—SKA LEOKADIA IRENA ;86;HANDLOWIEC ; 
Przedmieúcie åwidnickie;LIS JANINA  ;90;LALKARKA ; 
Przedmieúcie åwidnickie;PUT MARIUSZ JANUSZ ;49;EKONOMISTA ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;SIERADZKI £UKASZ LESZEK ;37;TECHNIK ELEKTROMONTER ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;SO£TYS MA£GORZATA WANDA ;63;PRAWNIK ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie O≥awskie;CYPRYJA—SKA MAGDALENA  ;41;KSI GOWA ; 
Przedmieúcie O≥awskie;DUDEK BARBARA ZDZIS£AWA ;61;TECHNICZNE åREDNIE ; 
Przedmieúcie O≥awskie;GASIK ADRIANA URSZULA ;27;WYØSZE  ; 
Przedmieúcie O≥awskie;G£USZEK MICHA£ RAFA£ ;25;STUDENT ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;GOLIMOWSKA KATARZYNA EMMA ;53;PIEL GNIARKA ; 
Przedmieúcie O≥awskie;GOLIMOWSKI MARIUSZ  ;46;OPERATOR MASZYN ; 
Przedmieúcie O≥awskie;GRASZEWICZ MAGDALENA J”ZEFA ;39;ADMINISTRATYWISTA ; 
Przedmieúcie O≥awskie;JOKS MARLENA EWA ;47; ; 
Przedmieúcie O≥awskie;KRUSZEWSKA LIDIA MAGDALENA ;41;PIEL GNIARKA ; 
Przedmieúcie O≥awskie;KRYJOM JOLANTA GRAØYNA ;65;KSI GOWA ; 
Przedmieúcie O≥awskie;LENARD ROBERT W£ODZIMIERZ ;54;ARTYSTA PLASTYK ;ZIELONY WROC£AW 
Przedmieúcie O≥awskie;MAKOWSKA EDYTA  ;41;PRACOWNIK ADMINISTRACYJNY ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;MAKOWSKI WOJCIECH J”ZEF ;49;åREDNIE ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;M•DRY DOMINIKA AGATA ;37;SPECJALISTA DS. KONTROLI ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Przedmieúcie O≥awskie;MITEV BARBARA WIKTORIA ;34;INØYNIER BUDOWNICTWA, SOCJOLOG ; 
Przedmieúcie O≥awskie;NAWARA MAGDALENA  ;38;ARCHITEKT ; 
Przedmieúcie O≥awskie;NIEDZIA£KOWSKA MONIKA  ;38;åREDNIE ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;NIEDZIA£KOWSKI ANDRZEJ ROBERT ;43;åREDNIE ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;NOWAKOWSKA-DUK AGATA MAGDALENA ;41;ANIMATOR KULTURY ; 
Przedmieúcie O≥awskie;SKIBI—SKI BARTOSZ ANDRZEJ ;22;ASYSTENT RADCY PRAWNEGO ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SKIBI—SKI JAKUB ANDRZEJ ;22;ASYSTENT RADCY PRAWNEGO ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SOBCZAK GRZEGORZ  ;28;PRZEWODNIK MIEJSKI PO WROC£AWIU   ; 
Przedmieúcie O≥awskie;STOØEK MARTA MAGDALENA ;41;SPRZEDAWCZYNI ; 
Przedmieúcie O≥awskie;SZUMIELA JOANNA  ;60;NAUCZYCIEL ; 
Przedmieúcie O≥awskie;WAJDA WOJCIECH JAN ;24;STUDENT ;DZIE— DOBRY S•SIEDZIE ! 
Przedmieúcie O≥awskie;WIECZOREK JAN ALEKSANDER ;31;LINGWISTA ;DZIE— DOBRY S•SIEDZIE ! 
Przedmieúcie O≥awskie;ZAJST ANDRZEJ MIROS£AW ;26;STUDENT ; 
Przedmieúcie O≥awskie;BRUSI£OWICZ EDWARD ANDRZEJ ;53;WYØSZE ; 
Przedmieúcie O≥awskie;CZECHOWSKI PAWE£ MAURYCY ;22;STUDENT ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;DROØDØY—SKA DOROTA CZES£AWA ;55;ZOOTECHNIK ; 
Przedmieúcie O≥awskie;DUBANIOWSKA AGNIESZKA  ;76;INØYNIER BUDOWNICTWA ; 
Przedmieúcie O≥awskie;DUDEK PIOTR CHARYTON ;22;RATOWNIK WODNY ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;DZIELENDZIAK JANUSZ  ;47;DR CHEMII ; 
Przedmieúcie O≥awskie;GLINA £UKASZ W£ODZIMIERZ ;39;WYØSZE ; 
Przedmieúcie O≥awskie;GREå-OWSIAK MIROS£AWA MARIA ;55;WYØSZE ; 
Przedmieúcie O≥awskie;IMIELA AGNIESZKA URSZULA ;44;KIEROWNIK FUNDACJI ;STOWARZYSZENIE AKCJA MIASTO 
Przedmieúcie O≥awskie;JARZEMBSKI MATEUSZ DAWID ;21;KIEROWNIK PROJEKTU MIEJSKIEGO ;BEZPARTYJNY WROC£AW 
Przedmieúcie O≥awskie;MACHALSKI BOGUS£AW ROBERT ;62;MONTER INSTALACJI ; 
Przedmieúcie O≥awskie;MICACH JANUSZ DARIUSZ ;61;KIEROWCA ; 
Przedmieúcie O≥awskie;PADEREWSKI STANIS£AW JAN ;61;MALARZ ; 
Przedmieúcie O≥awskie;PRZYBY£O MICHA£ TADEUSZ ;71;WYØSZE ; 
Przedmieúcie O≥awskie;RAK MARTYNIUSZ RAFA£ ;31;RADCA PRAWNY ; 
Przedmieúcie O≥awskie;SKOCZYLAS MA£GORZATA  ;56;PODSTAWOWE ; 
Przedmieúcie O≥awskie;SOBIERAJ MARCIN MIECZYS£AW ;21;STUDENT ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;TERKIEWICZ MARTA MARIA ;26;URZ DNIK ; 
Przedmieúcie O≥awskie;TWARDOWSKA HALINA JUSTYNA ;33;RENCISTKA ; 
Przedmieúcie O≥awskie;BUDZISZ ZYGMUNT MARIAN ;63;NAUCZYCIEL ; 
Przedmieúcie O≥awskie;GRZEGORCZYK KAMILA MAGDALENA ;37;HISTORYK SZTUKI ; 
Przedmieúcie O≥awskie;KOPE∆ £UKASZ  ;30;GEOGRAF ; 
Przedmieúcie O≥awskie;KOPE∆ PRZEMYS£AW EDWARD ;34;WYØSZE EKONOMICZNE ; 
Przedmieúcie O≥awskie;KULINIAK ANNA MARIA ;56;TECHNIK BUDOWLANY ; 
Przedmieúcie O≥awskie;KULINIAK JANUSZ  ;59;åREDNIE TECHNICZNE ; 
Przedmieúcie O≥awskie;LEWANDOWSKA ALICJA MARIOLA ;57;INØYNIER ROLNICTWA ; 
Przedmieúcie O≥awskie;MA£GOWSKA AGATA  ;22;åREDNIE; 
Przedmieúcie O≥awskie;MIELCZAREK ZOFIA  ;62;SPRZEDAWCA ; 
Przedmieúcie O≥awskie;NIEDèWIECKA KRYSTYNA  ;63;NAUCZYCIEL ; 
Przedmieúcie O≥awskie;PIJAR DARIA MA£GORZATA ;47;PRACOWNIK ADMINISTRACYJNY ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SKRZYSZEWSKI ADAM LECH ;34;INFORMATYK ; 
Przedmieúcie O≥awskie;STERCZEWSKI JACEK  ;24;SOCJOLOG ; 
Przedmieúcie O≥awskie;SZWEC MARZENA JANINA ;47;KUCHARZ ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SZWEC RENATA HELENA ;26;KUCHARZ ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SZWEC URSZULA WANDA ;20;ANIMATORKA CZASU WOLNEGO ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SZYMA—SKA ANNA  ;20;KOORDYNATOR WOLNTARIATU W FUNDACJI ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;SZYMA—SKI TOMASZ £UKASZ ;22;STUDENT ;KOLOROWE PRZEDMIEåCIE 
Przedmieúcie O≥awskie;WEBER MARIA JULITA ;59;INØYNIER BUDOWNICTWA ;PRZYJAZNE OSIEDLE  
Przedmieúcie O≥awskie;W£ADCZYK IRENA DANUTA ;64;ZAWODOWE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Psie Pole - Zawidawie;DOMA—SKA SANDRA ANETA ;30;SPECJALISTA DS ZARZ•DZANIA ;STOWARZYSZENIE AKCJA MIASTO 
Psie Pole - Zawidawie;KALWAT JAKUB SEBASTIAN ;39;ZAWODOWE ; 
Psie Pole - Zawidawie;KOSTANOWICZ MARZENA ELØBIETA ;50;åREDNIE TECHNICZNE ; 
Psie Pole - Zawidawie;KOWALSKI JAROS£AW JERZY ;45;ARCHITEKT ;BEZPARTYJNY WROC£AW 
Psie Pole - Zawidawie;KURZYNSKI PAWE£ JAN ;65;POLITOLOG ;BEZPARTYJNY WROC£AW 
Psie Pole - Zawidawie;MUTER MONIKA KATARZYNA ;45;åREDNIE ; 
Psie Pole - Zawidawie;WITKOWSKA MAGDALENA MARIA ;31;MAGISTER FILOLOGII POLSKIEJ ; 
Psie Pole - Zawidawie;WRONA ZDZIS£AW JAN ;68;TECHNIK ENERGETYK ; 
Psie Pole - Zawidawie;BARSZCZYK MARCIN PAWE£ ;40;TECHNIK ; 
Psie Pole - Zawidawie;£UKACZYK RAFA£ DARIUSZ ;46;PRAWNIK ; 
Psie Pole - Zawidawie;MAZURKIEWICZ ALEKSANDRA AGNIESZKA ;42;DORADCA FINANSOWY ;ZIELONY WROC£AW 
Psie Pole - Zawidawie;MINCER TADEUSZ ALBERT ;34;MENADØER KULTURY ; 
Psie Pole - Zawidawie;RESZKA LESZEK  ;40;MASZYNISTA OFFSETOWY/DRUKARZ ;BEZPARTYJNY WROC£AW 
Psie Pole - Zawidawie;SOLAREK JAN BOGUMI£ ;49;W£ASNA DZIA£ALNOå∆ GOSPODARCZA ; 
Psie Pole - Zawidawie;SZYMKOWIAK NORBERT JERZY ;49;NAUCZYCIEL ;BEZPARTYJNY 
Psie Pole - Zawidawie;W£ODARSKI RADOS£AW ZDZIS£AW ;41;SPECJALISTA DS. MARKETINGU ;BEZPARTYJNY WROC£AW 
Psie Pole - Zawidawie;W£ODARSKI RAFA£ GRZEGORZ ;27;NAUCZYCIEL WYCHOWANIA FIZYCZNEGO ;BEZPARTYJNY WROC£AW 
Psie Pole - Zawidawie;B£ACZKOWSKI LECH WOJCIECH ;62;WYØSZE NAUCZYCIELSKIE ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;CHASZCZEWICZ ADAM KAROL ;23;STUDENT ;LEPSZY ZAKRZ”W 
Psie Pole - Zawidawie;CHOWANIEC WOJCIECH W£ADYS£AW ;42;ZARZ•DCA NIERUCHOMOåCI ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;GLI—SKA MONIKA EWA ;36;REDAKTOR ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;KLIMASZEWSKA ADRIANNA  ;25;PRACOWNIK ADMINISTRACJI PUBLICZNEJ ;LEPSZY ZAKRZ”W 
Psie Pole - Zawidawie;KOåCIUSZKO BRYGIDA BARBARA ;47;SPECJALISTA DS. PERSONALNYCH ; 
Psie Pole - Zawidawie;KURCZEWSKI MICHA£ TYMOTEUSZ ;33;SOCJOLOG ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;GLI—SKI MARCIN DAWID ;36;INØYNIER ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;G£OWACKI BARTOSZ RYSZARD ;37;NAUCZYCIEL ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;MISZCZUK EWA  ;41;SOCJOLOG, DZIENNIKARZ ; 
Psie Pole - Zawidawie;OSOWSKA MARIA ANTONINA ;33;NAUCZYCIEL ;STOWARZYSZENIE ZMIENIAJ ZAKRZ”W 
Psie Pole - Zawidawie;SIERZCHU£A BOGDAN W£ADYS£AW ;61;åREDNIE TECHNICZNE ; 
So≥tysowice;BASTA TOMASZ  ;52;WYØSZE ; 
So≥tysowice;BOGDZIUN MARIAN JAN ;70;WYØSZE ; 
So≥tysowice;ERD ARTUR GRZEGORZ ;49;PRZEDSI BIORCA ; 
So≥tysowice;GAJEWSKA MAGDALENA EWA ;19;STUDENT ; 
So≥tysowice;GROBELNY MAREK ALEKSANDER ;35;ARCHITEKT BIZNESOWY ; 
So≥tysowice;JASZCZY—SKI KRZYSZTOF ANDRZEJ ;41;WYØSZE ; 
So≥tysowice;KALETA MICHA£ STEFAN ;25;STUDENT ; 
So≥tysowice;KOBESZKO MARIAN TOMASZ ;58;WYØSZE ;BEZPARTYJNY 
So≥tysowice;KR”LICKI TOMASZ ALEKSANDER ;20;STUDENT ; 
So≥tysowice;£AWNICZAK MICHA£  ;19;UCZE— ; 
So≥tysowice;OCHMAN BEATA MARIA ;55;NAUCZYCIEL ; 
So≥tysowice;OCHMAN CEZARY JAN ;29;INØYNIER ; 
So≥tysowice;POLNA ELØBIETA HELENA ;61;TECHNIK ELEKTRONIK ; 
So≥tysowice;åNIGUCKI PIOTR ADAM ;55;WYØSZE ; 
So≥tysowice;TYRAKOWSKA MA£GORZATA EWA ;29;WYØSZE ; 
So≥tysowice;WYBORSKI PIOTR KRZYSZTOF ;21;STUDENT ; 
So≥tysowice;ZIARKOWSKI £UKASZ GRZEGORZ ;27;EKONOMISTA ; 
Stare Miasto;BORATYN KATARZYNA ELØBIETA ;43;WYØSZE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;GO£KA MAREK JAN ;48;WYØSZE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW
Stare Miasto;MAKOWSKI GRZEGORZ PIOTR ;27;INFORMATYK ; 
Stare Miasto;NOWAK WOJCIECH JULIAN ;44;WYØSZE ;STARE MIASTO - LUBI  TO 
Stare Miasto;PIECUCH JOLANTA GRAØYNA ;46;WYØSZE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;STACHORZECKA MARIA HELENA ;72;EMERYTKA ;STARE MIASTO - LUBI  TO! 
Stare Miasto;SZELC J DRZEJ KALIKST ;35;INØYNIER ;BEZPARTYJNY WROC£AW 
Stare Miasto;SZELC OLGA MARIA ;47;WYØSZE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;SZMYD ANDRZEJ  ;33;KIEROWCA ZAWODOWY ;STARE MIASTO - LUBI  TO! 
Stare Miasto;TEKLI—SKI MICHA£ PAWE£ ;35;WYØSZE ;BEZPARTYJNY WROC£AW
Stare Miasto;TRUCHAN PIOTR  ;26;åREDNIE ; 
Stare Miasto;APIECIONEK ROBERT PIOTR ;44;MENEDØER ;STARE MIASTO-LUBI  TO 
Stare Miasto;BALEJA JANUSZ  ;66;STOLARZ ;STARE MIASTO-LUBI  TO! 
Stare Miasto;IDZIKOWSKA KRYSTYNA DOROTA ;69;NAUCZYCIEL ;STARE MIASTO-LUBI  TO! 
Stare Miasto;JO—SKI DANIEL PIOTR ;25;STUDENT ;STARE MIASTO-LUBI  TO 
Stare Miasto;JO—SKI KAMIL PIOTR ;22;KIEROWCA ;STARE MIASTO - LUBI  TO! 
Stare Miasto;STANEK GABRIELA ANIELA ;60;åREDNIE ; 
Stare Miasto;W£ADYCZKA ANNA DOROTA ;53;MUZYKOLOG ;KANDYDAT NIEZALEØNY
Stare Miasto;DAWIDOWICZ-REUTER ELWIRA TERESA ;65;SPECJALISTA DS. KONTROLI ;STARE MIASTO LUBI  TO! 
Stare Miasto;GIERCZAK MA£GORZATA  ;60;MAGISTER PIEL GNIARSTWA ;STARE MIASTO LUBI  TO 
Stare Miasto;KAWICKA EWA ANNA ;23;STUDENT ; 
Stare Miasto;MIKO£AJCZYK JUSTYNA  ;32;WYØSZE ; 
Stare Miasto;NIEZGODZKA JOLANTA MAGDALENA ;26;MAGISTER PRAWA ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;ZAWIåLA—SKI ANDRZEJ MIKO£AJ ;44;åREDNIE ; 
Stare Miasto;BIELECKA-GO£KA HALINA  ;52;WYØSZE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;BITTNER-CIO£EK AGNIESZKA ANNA ;42;NAUCZYCIELKA ;KANDYDAT NIEZALEØNY 
Stare Miasto;GRABOWSKI WITOLD SZYMON ;76;WYØSZE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;HABA GRAØYNA  ;72;KOSMETYCZKA ;KANDYDAT NIEZALEØNY 
Stare Miasto;KAPU£KA WOJCIECH KAZIMIERZ ;32;PRAWNIK/RADCA PRAWNY ; 
Stare Miasto;NARBUTOWICZ KRZYSZTOF MIECZYS£AW ;53;PRZEDSI BIORCA ;KANDYDAT NIEZALEØNY 
Stare Miasto;NICIEJEWSKI KRZYSZTOF  ;41;åREDNIE ;#LEPSZE STARE MIASTO #LEPSZY WROC£AW 
Stare Miasto;RYMASZEWSKI RYSZARD  ;75;EMERYT ;STARE MIASTO-LUBI  TO!
Stare Miasto;STACHORZECKI KRZYSZTOF CZES£AW ;31;åREDNIE ;STARE MIASTO-LUBI  TO!
Stare Miasto;W”JCIK IGOR MARCIN ;48;DZIA£ACZ KULTURY ;STARE MIASTO-LUBI  TO!
Strachocin - Swojczyce - WojnÛw;BERDOWICZ RENATA JOLANTA ;50;EKONOMISTA PEDAGOG ; 
Strachocin - Swojczyce - WojnÛw;CHRUåCIEL AGNIESZKA  ;46;NAUCZYCIEL ; 
Strachocin - Swojczyce - WojnÛw;K•KALEC ANNA  ;44;ARCHITEKT WN TRZ ;Z PASJA DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;PASIERSKI JAROS£AW ZBIGNIEW ;49;GEODETA ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;PIWKO-WOLNY RENATA JOLANTA ;48;PRZEDSI BIORCA ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;REDER TADEUSZ  ;70;åREDNIE TECHNICZNE ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;SKORUPA BEATA MARZENA ;45;INØYNIER ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;TORZ MICHA£  ;31;ARCHEOLOG, DZIENNIKARZ ;BEZPARTYJNY WROC£AW 
Strachocin - Swojczyce - WojnÛw;BIELECKA HALSZKA BEATA ;31;FILOLOG ; 
Strachocin - Swojczyce - WojnÛw;DZIEDOSZYCKA KRYSTYNA  ;70;åREDNIE ; 
Strachocin - Swojczyce - WojnÛw;NOWAK TERESA MARIA ;72;NAUCZYCIEL ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;PI•TEK STANIS£AW ROMAN ;32;MAGISTER INØYNIER ; 
Strachocin - Swojczyce - WojnÛw;PIETRZAK RAFA£ MARIUSZ ;33;INFORMATYK ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;SKOWRO—SKA JOLANTA GRAØYNA ;66;WYØSZE ; 
Strachocin - Swojczyce - WojnÛw;TOKARZ MARIUSZ  ;44;åREDNIE ;Z PASJ• DLA OSIEDLA 
Strachocin - Swojczyce - WojnÛw;TRACZ £UKASZ  ;27;WYØSZE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Strachocin - Swojczyce - WojnÛw;WALCZAK TOMASZ WOJCIECH ;35;URZ DNIK ; 
åwiniary;B£ACHNIO WIOLETTA TERESA ;27;LOGISTYK ; 
åwiniary;DYMKOWSKA KATARZYNA JOANNA ;40;EKONOMISTA ; 
åwiniary;GRONOSTAJSKI GRZEGORZ MICHA£ ;35;KIEROWCA ; 
åwiniary;JAWORSKA TERESA BOØENA ;51;KUCHMISTRZ ; 
åwiniary;KOåNIKOWSKA AGNIESZKA  ;38;REDAKTOR ; 
åwiniary;KRAJEWSKA AGATA MA£GORZATA ;33;PRACOWNIK ADMINISTRACYJNO-BIUROWY ; 
åwiniary;MARCINIAK GRZEGORZ MIECZYS£AW ;46;KIEROWCA ; 
åwiniary;RYLOKOWSKA-MACI•ØEK MARTA  ;35;FIZJOTERAPEUTA ; 
åwiniary;ST PNIAK AGNIESZKA MARTA ;40;EKONOMISTA ; 
åwiniary;SZOSTEK JOANNA DOMINIKA ;39;INSPEKTOR BHP ; 
åwiniary;SZOSTEK SEBASTIAN  ;41;KIEROWCA ; 
åwiniary;SZULC AGNIESZKA ANNA ;40;DIETETYK ; 
åwiniary;SZULC DANIEL  ;39;TECHNOLOG ROLNICTWA I LEåNICTWA ; 
åwiniary;SZYMCZYK KRYSTYNA MARIA ;69;CHEMIK ; 
åwiniary;TREPKA MARIUSZ DARIUSZ ;50;STRAØAK ; 
Szczepin;ANKUDOWICZ JAROS£AW ADAM ;41;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;CZERNIEWSKI TADEUSZ  ;80;EMERYT ; 
Szczepin;DEMBOWSKI PAWE£  ;34;T£UMACZ; 
Szczepin;GRANAT DARIUSZ  ;28;åREDNIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;GRANOWSKI WOJCIECH KRZYSZTOF ;40;WYØSZE PRAWICZE ;SZCZEPIN - LUBI  TO! 
Szczepin;KRASI—SKA AGNA MAGDALENA ;48;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;SIEMIEØ £UKASZ KRZYSZTOF ;34;PODSTAWOWE ;SZCZEPIN - LUBI  TO! 
Szczepin;SZATKOWSKA BARBARA ANTONINA ;66;EMERYT ; 
Szczepin;TARASIEWICZ ANNA ELWIRA ;42;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;WDOWIAK-URBA—CZYK MAGDALENA MARIA ;35;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;ØAK £UCJA  ;72;EMERYT ; 
Szczepin;ANKUDOWICZ BEATA ZOFIA ;37;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;KACPRZY—SKA LUCYNA  ;39;TECHNIK EKONOMISTA ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;KALICKA URSZULA LUCYNA ;31;TECHNIK TECHNOLOGII ODZIEØY ;SZCZEPIN - LUBI  TO! 
Szczepin;KLIMA JOANNA BARBARA ;44;NAUCZYCIEL ;SERCE SZCZEPINA 
Szczepin;MACIEJEWSKA KATARZYNA  ;35;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;NOWICKI ARKADIUSZ  ;23;HANDLOWIEC ;ZIELONY SZCZEPIN 
Szczepin;SARNA ROMAN  ;54;MECHANIK MASZYN ;SZCZEPIN - LUBI  TO! 
Szczepin;SKUP S£AWOMIR  ;56;RENCISTA ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;STANIOROWSKA ALEKSANDRA ZOFIA ;27;MALARKA ;SZCZEPIN - LUBI  TO! 
Szczepin;STANIOROWSKA ANNA MARIA ;27;HISTORYK SZTUKI ;SZCZEPIN - LUBI  TO! 
Szczepin;STRAUS WITOLD KRZYSZTOF ;29;PRAWNIK ;SERCE SZCZEPINA 
Szczepin;STRZELECKA ALDONA RENATA ;62;WYØSZE EKONOMICZNE ; 
Szczepin;SUWALSKA URSZULA EWA ;47;HANDLOWIEC ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;SZKLARZ PIOTR KAZIMIERZ ;35;PRZEDSI BIORCA ;SZCZEPIN - LUBI  TO! 
Szczepin;SZRAMA MAREK TADEUSZ ;56;åLUSARZ ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;SZWEC MARIA REGINA ;73;EKONOMISTA ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;TYMI—SKA MARIA J”ZEFA ;71;HANDLOWIEC ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;WARULIK WOJCIECH WIKTOR ;71;WYØSZE ;SZCZEPIN - LUBI  TO! 
Szczepin;WOJCIECHOWSKI ZYGMUNT  ;65;ELEKTRONIK ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;WOLDAN RAFA£ MICHA£ ;45;WYØSZE ;SERCE SZCZEPINA 
Szczepin;ØURCZAK MARCIN LEON ;78;AUTOMATYK ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Szczepin;BRZOZOWSKA MARIANNA MAGDALENA ;63;BIBLIOTEKARZ ;SZCZEPIN - LUBI  TO 
Szczepin;DWOJAK ANDRZEJ TOMASZ ;55;ARCHEOLOG ; 
Szczepin;JAROCKA MA£GORZATA DOROTA ;41;WYØSZE ;SZCZEPIN - LUBI  TO 
Szczepin;KONICKI EDWARD  ;74;EMERYT ; 
Szczepin;KORDEK-PI”REK ANNA WANDA ;30;åREDNIE;SERCE SZCZEPINA 
Szczepin;KUBICKA ELØBIETA  ;76;EKONOMISTA ;SZCZEPIN - LUBI  TO 
Szczepin;MATEUSIAK TERESA MARIANNA ;73;åREDNIE ; 
Szczepin;PAèDZIOR MAGDALENA  ;42;MGR ADMINISTRACJI ; 
Szczepin;PIONTEK JAN FELIKS ;54;TECHNOLOG DRUKARZ ;SZCZEPIN - LUBI  TO 
Szczepin;SIOMA MARIA  ;67;EMERYT ; 
Szczepin;SZCZEåNIEWSKI MAREK JERZY ;56;åREDNIE ; 
